win,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,tower_kills_team_1,inhibitor_kills_team_1,baron_kills_team_1,dragon_kills_team_1,vilemaw_kills_team_1,rift_herald_kills_team_1,tower_kills_team_2,inhibitor_kills_team_2,baron_kills_team_2,dragon_kills_team_2,vilemaw_kills_team_2,rift_herald_kills_team_2,kills_top_team_1,assists_top_team_1,deaths_top_team_1,gold_earned_20m_top_team_1,cs_20m_top_team_1,xp_20m_top_team_1,damege_taken_20m_top_team_1,kills_middle_team_1,assists_middle_team_1,deaths_middle_team_1,gold_earned_20m_middle_team_1,cs_20m_middle_team_1,xp_20m_middle_team_1,damege_taken_20m_middle_team_1,kills_jungle_team_1,assists_jungle_team_1,deaths_jungle_team_1,gold_earned_20m_jungle_team_1,cs_20m_jungle_team_1,xp_20m_jungle_team_1,damege_taken_20m_jungle_team_1,kills_bottom_duo_support_team_1,assists_bottom_duo_support_team_1,deaths_bottom_duo_support_team_1,gold_earned_20m_bottom_duo_support_team_1,cs_20m_bottom_duo_support_team_1,xp_20m_bottom_duo_support_team_1,damege_taken_20m_bottom_duo_support_team_1,kills_bottom_duo_carry_team_1,assists_bottom_duo_carry_team_1,deaths_bottom_duo_carry_team_1,gold_earned_20m_bottom_duo_carry_team_1,cs_20m_bottom_duo_carry_team_1,xp_20m_bottom_duo_carry_team_1,damege_taken_20m_bottom_duo_carry_team_1,kills_top_team_2,assists_top_team_2,deaths_top_team_2,gold_earned_20m_top_team_2,cs_20m_top_team_2,xp_20m_top_team_2,damege_taken_20m_top_team_2,kills_middle_team_2,assists_middle_team_2,deaths_middle_team_2,gold_earned_20m_middle_team_2,cs_20m_middle_team_2,xp_20m_middle_team_2,damege_taken_20m_middle_team_2,kills_jungle_team_2,assists_jungle_team_2,deaths_jungle_team_2,gold_earned_20m_jungle_team_2,cs_20m_jungle_team_2,xp_20m_jungle_team_2,damege_taken_20m_jungle_team_2,kills_bottom_duo_support_team_2,assists_bottom_duo_support_team_2,deaths_bottom_duo_support_team_2,gold_earned_20m_bottom_duo_support_team_2,cs_20m_bottom_duo_support_team_2,xp_20m_bottom_duo_support_team_2,damege_taken_20m_bottom_duo_support_team_2,kills_bottom_duo_carry_team_2,assists_bottom_duo_carry_team_2,deaths_bottom_duo_carry_team_2,gold_earned_20m_bottom_duo_carry_team_2,cs_20m_bottom_duo_carry_team_2,xp_20m_bottom_duo_carry_team_2,damege_taken_20m_bottom_duo_carry_team_2
1,1,2,1,1,2,2,9,2,2,3,0,0,7,0,1,3,0,2,14,14,6,361.4,7.8,529.8,989.8,2,11,11,339.3,5.5,458.3,496.1,18,16,6,544.8,1.6,579.7,1042.1,4,28,10,240.8,1.1,345.4,596.7,21,21,7,526.9,7.5,537.4,745.9,11,8,10,385.1,7.7,432.1,1017.9,10,9,12,417.6,5.9,423.3,979.3,9,8,7,498.8,3.8,590.9,504.3,5,19,13,313.7,1.2,316.4,545.8,5,20,18,358.3,4.9,408.5,874.2
1,1,2,1,0,1,0,7,1,0,4,0,0,4,0,0,0,0,0,11,6,5,555.5,8,686.4,1283,12,9,3,594.9,8,638.6,906.1,9,12,9,509.6,0.3,667.1,1064.2,3,15,5,305.1,0.4,374.3,531.8,19,7,4,615.8,8.3,634.6,791.4,9,2,10,584.5,6,482,1188.3,2,6,13,302.7,6.4,446.4,1082.4,5,7,10,422.4,1.2,449.4,897.6,2,10,11,353.6,2.7,450.6,701.9,8,5,10,400.7,5.4,363.9,822.8
1,1,2,1,0,1,0,7,1,0,4,0,0,4,0,0,0,0,0,11,6,5,555.5,8,686.4,1283,12,9,3,594.9,8,638.6,906.1,9,12,9,509.6,0.3,667.1,1064.2,3,15,5,305.1,0.4,374.3,531.8,19,7,4,615.8,8.3,634.6,791.4,9,2,10,584.5,6,482,1188.3,2,6,13,302.7,6.4,446.4,1082.4,5,7,10,422.4,1.2,449.4,897.6,2,10,11,353.6,2.7,450.6,701.9,8,5,10,400.7,5.4,363.9,822.8
2,1,0,2,0,1,1,2,0,0,3,0,1,8,1,0,3,0,0,3,6,10,300.4,5,357.1,877.5,5,15,9,341.2,6.9,562.4,741.5,8,13,10,350.9,0.4,374.3,825.9,1,26,5,289.1,1.4,302.9,626.8,19,8,5,591.1,7.7,567.4,381.4,11,13,3,457.9,6.7,515.9,809.6,9,10,1,423.4,8.8,506.1,364.9,14,12,11,450.2,1.5,484,1028.1,2,15,8,216.6,1.8,311.3,640.3,3,7,13,348.1,6.9,387.1,421.9
2,1,0,2,0,1,1,2,0,0,3,0,1,8,1,0,3,0,0,3,6,10,300.4,5,357.1,877.5,5,15,9,341.2,6.9,562.4,741.5,8,13,10,350.9,0.4,374.3,825.9,1,26,5,289.1,1.4,302.9,626.8,19,8,5,591.1,7.7,567.4,381.4,11,13,3,457.9,6.7,515.9,809.6,9,10,1,423.4,8.8,506.1,364.9,14,12,11,450.2,1.5,484,1028.1,2,15,8,216.6,1.8,311.3,640.3,3,7,13,348.1,6.9,387.1,421.9
2,2,2,2,1,1,2,1,0,1,3,0,0,9,2,0,1,0,1,3,0,10,298.1,5.3,376.2,862.6,4,7,7,404.8,5.4,380.2,891.7,2,11,5,309.5,1.4,503.8,933,5,17,11,317.6,0.7,375.7,578.1,18,7,7,565,9.8,511.9,681.3,17,3,3,631,9.6,671,749.1,6,9,6,438.1,6.9,445.8,584.4,3,15,9,437.7,1,470.5,781.3,3,14,9,292.9,1.5,345.1,877,11,7,5,498.7,6.2,412.7,608.4
2,2,2,2,1,1,2,1,0,1,3,0,0,9,2,0,1,0,1,3,0,10,298.1,5.3,376.2,862.6,4,7,7,404.8,5.4,380.2,891.7,2,11,5,309.5,1.4,503.8,933,5,17,11,317.6,0.7,375.7,578.1,18,7,7,565,9.8,511.9,681.3,17,3,3,631,9.6,671,749.1,6,9,6,438.1,6.9,445.8,584.4,3,15,9,437.7,1,470.5,781.3,3,14,9,292.9,1.5,345.1,877,11,7,5,498.7,6.2,412.7,608.4
2,2,2,2,1,1,2,1,0,1,3,0,0,9,2,0,1,0,1,3,0,10,298.1,5.3,376.2,862.6,4,7,7,404.8,5.4,380.2,891.7,2,11,5,309.5,1.4,503.8,933,5,17,11,317.6,0.7,375.7,578.1,18,7,7,565,9.8,511.9,681.3,17,3,3,631,9.6,671,749.1,6,9,6,438.1,6.9,445.8,584.4,3,15,9,437.7,1,470.5,781.3,3,14,9,292.9,1.5,345.1,877,11,7,5,498.7,6.2,412.7,608.4
1,1,0,1,1,2,1,7,2,2,1,0,1,4,0,0,4,0,0,4,19,8,441.1,6.8,493.4,1253.4,10,14,7,411.8,7.1,501.9,632.7,9,24,9,419.6,2.4,423.6,979.7,4,27,7,294.4,2.2,372.6,572.5,17,9,10,318.7,4.9,405.8,914.4,5,16,8,403.7,4.5,429,865.8,7,10,10,402,7.3,616.2,687.3,4,24,8,495.7,2,556.3,863,8,26,8,406.4,1.6,487,818.2,17,14,10,432.2,5,447.9,788.5
1,1,0,1,1,1,1,9,2,1,3,0,1,4,0,0,1,0,0,10,6,7,522.5,8.5,560.3,966.5,9,8,7,324.9,5.1,364.4,561.4,4,17,4,466.6,1.1,488.8,757.6,2,22,7,258.9,1.3,277.7,565.5,17,12,2,505.3,9.8,517,413.5,9,2,12,421.1,7.3,469.1,786.3,6,4,8,465.1,7.9,562.6,697.7,6,9,7,429.3,0,399.4,771,1,12,11,332.6,0.8,372.4,441.9,5,9,5,484.6,8.8,516.5,192.7
